ASIN,URL,FULL_URL,TITLE,Tag 2,Tag 1,Tag 3,RATING,LENGTH,MRP,SELLING_PRICE,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,DESCRIPTION
B0CFLT7G2B,https://www.amazon.in/dp/B0CFLT7G2B,https://www.amazon.in/Mindfuels-Vocabulary-Builder-Search-worksheets/dp/B0CFLT7G2B/ref=sr_1_102,Vocabulary Builder word Search puzzle worksheets for kids,All-Subject Activity Books,Shop By Interest,"Middle School (Class 5 & 6), Upper Primary (Class 3 & 4)",5,62 pages,294,294,https://m.media-amazon.com/images/I/517U0zQISzL.jpg,https://m.media-amazon.com/images/I/51smnKfBmIL.jpg,https://m.media-amazon.com/images/I/516-sOLVj8L.jpg,https://m.media-amazon.com/images/I/41h2bNKbufL.jpg,,,,"Vocabulary Builder word Search puzzle worksheets for kids', an essential educational workbook. Carefully structured to boost comprehension and retention, it provides excellent practice material for students aiming to excel in their studies."
B08P3K7DRM,https://www.amazon.in/dp/B08P3K7DRM,https://www.amazon.in/Mindfuels-Practice-Assignments-book-PICTURE-MATCHING-Interactive/dp/B08P3K7DRM/ref=sr_1_37,Picture Matching | Interactive Activity book for children  | Age 2 to 5,All-Subject Activity Books,Shop By Interest,"Early Foundation (Pre Nursery & Nursery), Kindergarten Years (U.K.G &  L.K.G)",4.4,N/A,295,295,https://m.media-amazon.com/images/I/510+yrEEgeS.jpg,https://m.media-amazon.com/images/I/41xvP4XNimL.jpg,https://m.media-amazon.com/images/I/41nbUDrGtAL.jpg,https://m.media-amazon.com/images/I/41iTCyzVLuL.jpg,https://m.media-amazon.com/images/I/41IBmVY+o1L.jpg,https://m.media-amazon.com/images/I/41OUFBs1A4L.jpg,https://m.media-amazon.com/images/I/41vqXZ8jCRL.jpg,"Practice Assignments book|PICTURE MATCHING|Interactive Activity book for children | Exercises for Skill Development BOOK', an essential educational workbook. Carefully structured to boost comprehension and retention, it provides excellent practice material for students aiming to excel in their studies."
B0995N3NCY,https://www.amazon.in/dp/B0995N3NCY,https://www.amazon.in/Mindfuels-Spot-Differences-Activity-Children/dp/B0995N3NCY/ref=sr_1_70,Spot the Differences | Fun Activity Books For Children,All-Subject Activity Books,Shop By Interest,"Early Foundation (Pre Nursery & Nursery), Kindergarten Years (U.K.G &  L.K.G)",4.3,64 pages,295,295,https://m.media-amazon.com/images/I/51qrnTLkBJS.jpg,https://m.media-amazon.com/images/I/51bgsR8ovVS.jpg,https://m.media-amazon.com/images/I/41c+QLx+urS.jpg,https://m.media-amazon.com/images/I/41sP5yZ4UdS.jpg,https://m.media-amazon.com/images/I/51QF-WTVK3S.jpg,https://m.media-amazon.com/images/I/51eIeKCzVUS.jpg,,"Spot the Differences | Fun Activity Books For Children', an essential educational workbook. Carefully structured to boost comprehension and retention, it provides excellent practice material for students aiming to excel in their studies."
B08JV5MYLX,https://www.amazon.in/dp/B08JV5MYLX,https://www.amazon.in/Mindfuels-Big-Book-Pictures-Kids/dp/B08JV5MYLX/ref=sr_1_186,"My Big Book Of Pictures For Kids | Pictures & Illustration Book for Kids, Activity book",All-Subject Activity Books,Shop By Interest,Early Foundation (Pre Nursery & Nursery),5,N/A,250,250,https://m.media-amazon.com/images/I/51YH3Ig4RpL.jpg,https://m.media-amazon.com/images/I/51N5IQE9GBL.jpg,https://m.media-amazon.com/images/I/51AT4DxJz-L.jpg,https://m.media-amazon.com/images/I/51g10a+XMxL.jpg,https://m.media-amazon.com/images/I/51+L7jDGsZL.jpg,https://m.media-amazon.com/images/I/51tEfY6VA2L.jpg,https://m.media-amazon.com/images/I/51vxbPe9lSL.jpg,"My Big Book Of Pictures For Kids | Pictures & Illustration Book for Kids, Activity book', an essential educational workbook. Carefully structured to boost comprehension and retention, it provides excellent practice material for students aiming to excel in their studies."
B08JV43562,https://www.amazon.in/dp/B08JV43562,https://www.amazon.in/Mindfuels-First-Learning-Step-Book/dp/B08JV43562/ref=sr_1_187,My First Learning Step Book For Kids | Alphabet and Number Book for kindergarden children,All-Subject Activity Books,Shop By Interest,Early Foundation (Pre Nursery & Nursery),4,N/A,365,365,https://m.media-amazon.com/images/I/51hlBboFC1L.jpg,https://m.media-amazon.com/images/I/51KTz5Gy4sL.jpg,https://m.media-amazon.com/images/I/41V1SBvXuYL.jpg,https://m.media-amazon.com/images/I/41EGs3T7kKL.jpg,https://m.media-amazon.com/images/I/41cU9-NGtOL.jpg,https://m.media-amazon.com/images/I/51ZQhGi7etL.jpg,https://m.media-amazon.com/images/I/5198pgpWxrL.jpg,"My First Learning Step Book For Kids | Alphabet and Number Book for kindergarden children', an essential educational workbook. Carefully structured to boost comprehension and retention, it provides excellent practice material for students aiming to excel in their studies."
B08BYSJNRP,https://www.amazon.in/dp/B08BYSJNRP,https://www.amazon.in/Mindfuels-Children-Engaging-interesting-Interactive/dp/B08BYSJNRP/ref=sr_1_146,"Word Search for Children and Young Minds Updated and Engaging, interesting ,Interactive Activity Book of Class 4 (3 in 1)",All-Subject Activity Books,Shop By Interest,Upper Primary (Class 3 & 4),4,48 pages,175,175,https://m.media-amazon.com/images/I/518r9M4im9L.jpg,https://m.media-amazon.com/images/I/51FOmy0T-eL.jpg,https://m.media-amazon.com/images/I/51lNf0oqLQL.jpg,https://m.media-amazon.com/images/I/51TbRksI8pL.jpg,https://m.media-amazon.com/images/I/51w5+Ccwl2L.jpg,,,"Word Search for Children and Young Minds Updated and Engaging, interesting ,Interactive Activity Book of Class 4 (3 in 1)', an essential educational workbook. Carefully structured to boost comprehension and retention, it provides excellent practice material for students aiming to excel in their studies."
B08P3GW181,https://www.amazon.in/dp/B08P3GW181,https://www.amazon.in/Mindfuels-Practice-Assignment-book-ODD-OUT-Interactive/dp/B08P3GW181/ref=sr_1_84,Practice Assignment book|ODD ONE OUT|Interactive Activity book for children,All-Subject Activity Books,Shop By Interest,Early Foundation (Pre Nursery & Nursery),4.6,N/A,295,295,https://m.media-amazon.com/images/I/51fgQxdMqUL.jpg,https://m.media-amazon.com/images/I/41UNWd6d7vL.jpg,https://m.media-amazon.com/images/I/514SODLLjnL.jpg,https://m.media-amazon.com/images/I/41qKKhU6h4L.jpg,https://m.media-amazon.com/images/I/51lICM1I8jL.jpg,https://m.media-amazon.com/images/I/51V1HuaIlSL.jpg,https://m.media-amazon.com/images/I/413T0dhtmYL.jpg,"Practice Assignment book|ODD ONE OUT|Interactive Activity book for children', an essential educational workbook. Carefully structured to boost comprehension and retention, it provides excellent practice material for students aiming to excel in their studies."
B08JTW49SH,https://www.amazon.in/dp/B08JTW49SH,https://www.amazon.in/School-Activity-Book-kids-Mindfuels/dp/B08JTW49SH/ref=sr_1_188,"Pre School Activity Book For kids 3|5 Year Old Interactive Activity Book For Kids, Fun based learning for children",All-Subject Activity Books,Shop By Interest,"Early Foundation (Pre Nursery & Nursery), Kindergarten Years (U.K.G &  L.K.G)",4.5,112 pages,325,325,https://m.media-amazon.com/images/I/51JM6XaqLqL.jpg,https://m.media-amazon.com/images/I/41u8nE8pcxL.jpg,https://m.media-amazon.com/images/I/413HDigbQdL.jpg,https://m.media-amazon.com/images/I/41EEw0bl1KL.jpg,https://m.media-amazon.com/images/I/41WFELs37HL.jpg,https://m.media-amazon.com/images/I/412WGsi8kxL.jpg,https://m.media-amazon.com/images/I/41hQMLGnNBL.jpg,"Pre School Activity Book For kids 3|5 Year Old Interactive Activity Book For Kids, Fun based learning for children', an essential educational workbook. Carefully structured to boost comprehension and retention, it provides excellent practice material for students aiming to excel in their studies."
B08C737VMK,https://www.amazon.in/dp/B08C737VMK,https://www.amazon.in/Mindfuels-Practice-Assignment-Workbook-Efficient/dp/B08C737VMK/ref=sr_1_76,Writing Practice Assignment Workbook on Hindi to Keep Children and Young Minds Efficient in Hindi writing Activity | A Hindi Activity book,All-Subject Activity Books,Shop By Interest,Lower Primary (Class 1 & 2),4.6,N/A,295,295,https://m.media-amazon.com/images/I/51BH6RYWM4L.jpg,https://m.media-amazon.com/images/I/51sy3dHKXyL.jpg,https://m.media-amazon.com/images/I/41uiC8lL35L.jpg,https://m.media-amazon.com/images/I/41mec1fdGuL.jpg,https://m.media-amazon.com/images/I/51ZHpMpi5xL.jpg,https://m.media-amazon.com/images/I/41gZubPQguL.jpg,https://m.media-amazon.com/images/I/515l8TMsdgL.jpg,"Writing Practice Assignment Workbook on Hindi to Keep Children and Young Minds Efficient in Hindi writing Activity | A Hindi Activity book', an essential educational workbook. Carefully structured to boost comprehension and retention, it provides excellent practice material for students aiming to excel in their studies."
B08P3H5H4K,https://www.amazon.in/dp/B08P3H5H4K,https://www.amazon.in/Mindfuels-Practice-Assignment-book-MAZES-find/dp/B08P3H5H4K/ref=sr_1_29,Practice Assignment book|MAZES find the way,All-Subject Activity Books,Shop By Interest,"Kindergarten Years (U.K.G &  L.K.G), Lower Primary (Class 1 & 2)",5,N/A,295,295,https://m.media-amazon.com/images/I/51TpgUuft2S.jpg,https://m.media-amazon.com/images/I/411KNUT9NkL.jpg,https://m.media-amazon.com/images/I/51WUGeII1JL.jpg,https://m.media-amazon.com/images/I/51-HvVY1V8L.jpg,https://m.media-amazon.com/images/I/51ZRTd31FYL.jpg,https://m.media-amazon.com/images/I/51z65oEeiDL.jpg,https://m.media-amazon.com/images/I/51chflVP3kL.jpg,"Practice Assignment book|MAZES find the way', an essential educational workbook. Carefully structured to boost comprehension and retention, it provides excellent practice material for students aiming to excel in their studies."
B0995NY8DY,https://www.amazon.in/dp/B0995NY8DY,https://www.amazon.in/Mindfuels-Practice-Worksheets-Comparison-Colouring/dp/B0995NY8DY/ref=sr_1_119,"Practice Worksheets / Early Learning Comparison skill ( Pre Number Skills) (English, Maths, GK, Colouring) Workbook | 1",All-Subject Activity Books,Shop By Interest,Lower Primary (Class 1 & 2),5,63 pages,295,295,https://m.media-amazon.com/images/I/513TCyauf3S.jpg,https://m.media-amazon.com/images/I/51-5mT9OSOS.jpg,https://m.media-amazon.com/images/I/417DJXhuZCS.jpg,https://m.media-amazon.com/images/I/51vOQASHp1S.jpg,https://m.media-amazon.com/images/I/51MaSTWaa5S.jpg,https://m.media-amazon.com/images/I/512rDMWCDwS.jpg,,"Practice Worksheets / Early Learning Comparison skill ( Pre Number Skills) (English, Maths, GK, Colouring) Workbook | 1', an essential educational workbook. Carefully structured to boost comprehension and retention, it provides excellent practice material for students aiming to excel in their studies."
B08DKR7DB7,https://www.amazon.in/dp/B08DKR7DB7,https://www.amazon.in/Mindfuels-Alphabet-Practice-Learning-Reusable/dp/B08DKR7DB7/ref=sr_1_126,Alphabet Practice and Learning Book (Small abc) For Kids With Reusable Wipe & Clean Flash Cards |Age 2 to 5 years,All-Subject Activity Books,Shop By Interest,Early Foundation (Pre Nursery & Nursery),3.3,N/A,250,250,https://m.media-amazon.com/images/I/51ilxNazHPL.jpg,https://m.media-amazon.com/images/I/51wggnT-xVL.jpg,https://m.media-amazon.com/images/I/41z4Zk8y+hL.jpg,https://m.media-amazon.com/images/I/41TwjkLX6SL.jpg,https://m.media-amazon.com/images/I/41V8P0ktIAL.jpg,https://m.media-amazon.com/images/I/41WzoOzanwL.jpg,,"Alphabet Practice and Learning Book (Small abc) For Kids With Reusable Wipe & Clean Flash Cards |Age 2 to 5 years', an essential educational workbook. Carefully structured to boost comprehension and retention, it provides excellent practice material for students aiming to excel in their studies."
B08DKHDP59,https://www.amazon.in/dp/B08DKHDP59,https://www.amazon.in/Mindfuels-Reusable-binding-Alphabet-Learning/dp/B08DKHDP59/ref=sr_1_127,Hindi Reusable Wipe & Clean Flash Cards book | Hindi Alphabet Learning Books For Kids(Age 2 years to 6 years),All-Subject Activity Books,Shop By Interest,"Lower Primary (Class 1 & 2), Kindergarten Years (U.K.G &  L.K.G)",4,104 pages,325,325,https://m.media-amazon.com/images/I/51gAa79vYSL.jpg,https://m.media-amazon.com/images/I/51wggnT-xVL.jpg,https://m.media-amazon.com/images/I/41SrBZCcISL.jpg,https://m.media-amazon.com/images/I/51ekifa7V7L.jpg,https://m.media-amazon.com/images/I/41knK2hwodL.jpg,https://m.media-amazon.com/images/I/41u3R1AhXdL.jpg,https://m.media-amazon.com/images/I/41G1oisRWFL.jpg,"Hindi Reusable Wipe & Clean Flash Cards book | Hindi Alphabet Learning Books For Kids(Age 2 years to 6 years)', an essential educational workbook. Carefully structured to boost comprehension and retention, it provides excellent practice material for students aiming to excel in their studies."
B0FSKF3LF8,https://www.amazon.in/dp/B0FSKF3LF8,https://www.amazon.in/%E0%A4%AC%E0%A4%9A%E0%A5%8D%E0%A4%9A%E0%A5%8B%E0%A4%82-%E0%A4%AE%E0%A4%9C%E0%A5%87%E0%A4%A6%E0%A4%BE%E0%A4%B0-%E0%A4%97%E0%A4%A4%E0%A4%BF%E0%A4%B5%E0%A4%BF%E0%A4%A7%E0%A4%BF%E0%A4%AF%E0%A5%8B%E0%A4%82-%E0%A4%B9%E0%A4%BF%E0%A4%82%E0%A4%A6%E0%A5%80-%E0%A4%B5%E0%A4%B0%E0%A5%8D%E0%A4%A3%E0%A4%AE%E0%A4%BE%E0%A4%B2%E0%A4%BE/dp/B0FSKF3LF8/ref=sr_1_150,Fun Activity Hindi Alphabet Learning Book for Kids with Colorful Illustrations ,All-Subject Activity Books,Shop By Interest,"Kindergarten Years (U.K.G &  L.K.G), Middle School (Class 5 & 6)",Previous,40 pages,225,225,https://m.media-amazon.com/images/I/51Y0P8b-AsL.jpg,https://m.media-amazon.com/images/I/51UMm2eRNcL.jpg,,,,,,"बच्चों के लिए मजेदार गतिविधियों के साथ हिंदी वर्णमाला सीखने की रंगीन किताब | Fun Activity Hindi Alphabet Learning Book for Kids with Colorful Illustrations [Hardcover] ’s [Sep 25, 2025]', an essential educational workbook. Carefully structured to boost comprehension and retention, it provides excellent practice material for students aiming to excel in their studies."
B08DKG6WGG,https://www.amazon.in/dp/B08DKG6WGG,https://www.amazon.in/Mindfuels-Flash-Cards-Clean-Spiral/dp/B08DKG6WGG/ref=sr_1_292,"Flash Cards , Wipe & Clean books With Spiral (Combo Of 5 Books) | Festivals, Food, Fruits , Insects, Vegetables| Wipe & Clean Reusable Learning Books For Kids, Coloring book for kids",All-Subject Activity Books,Shop By Interest,"Early Foundation (Pre Nursery & Nursery), Kindergarten Years (U.K.G &  L.K.G)",3,150 pages,450,450,https://m.media-amazon.com/images/I/51cxBcTxKBL.jpg,https://m.media-amazon.com/images/I/51tJ5-YcBxL.jpg,https://m.media-amazon.com/images/I/51ajuq5iESL.jpg,https://m.media-amazon.com/images/I/41WBWWQul7L.jpg,https://m.media-amazon.com/images/I/41SgpLgCS3L.jpg,https://m.media-amazon.com/images/I/31dETF5B1vL.jpg,https://m.media-amazon.com/images/I/31pBoYr4XkL.jpg,"Flash Cards , Wipe & Clean books With Spiral (Combo Of 5 Books) | Festivals, Food, Fruits , Insects, Vegetables| Wipe & Clean Reusable Learning Books For Kids, Coloring book for kids', an essential educational workbook. Carefully structured to boost comprehension and retention, it provides excellent practice material for students aiming to excel in their studies."
B0CGZP358T,https://www.amazon.in/dp/B0CGZP358T,https://www.amazon.in/Mindfuels-work-search-Books-combo/dp/B0CGZP358T/ref=sr_1_170,word search Books for kids | Combo of 12 Books,All-Subject Activity Books,Shop By Interest,"Middle School (Class 5 & 6), Upper Primary (Class 3 & 4)",Previous,192 pages,450,450,https://m.media-amazon.com/images/I/61wLtn2wzRL.jpg,https://m.media-amazon.com/images/I/41LZu8ff5SL.jpg,https://m.media-amazon.com/images/I/51YkrdjvnBL.jpg,https://m.media-amazon.com/images/I/51HHrc0JDKL.jpg,https://m.media-amazon.com/images/I/51vjRiosX-L.jpg,https://m.media-amazon.com/images/I/51yVa9zrnfL.jpg,https://m.media-amazon.com/images/I/51QQbIGwO5L.jpg,"work search Books for kids combo of |12 Books', an essential educational workbook. Carefully structured to boost comprehension and retention, it provides excellent practice material for students aiming to excel in their studies."
B0CG38VY51,https://www.amazon.in/dp/B0CG38VY51,https://www.amazon.in/Mindfuels-Word-Search-combo-Book/dp/B0CG38VY51/ref=sr_1_173,Word Search combo Book pack of 4,All-Subject Activity Books,Shop By Interest,"Middle School (Class 5 & 6), Upper Primary (Class 3 & 4)",Previous,192 pages,700,700,https://m.media-amazon.com/images/I/81eYh-xfI8L.jpg,,,,,,,"Word Search combo Book pack of 4', an essential educational workbook. Carefully structured to boost comprehension and retention, it provides excellent practice material for students aiming to excel in their studies."
B0CG33VFYX,https://www.amazon.in/dp/B0CG33VFYX,https://www.amazon.in/Mindfuels-combo-pack-6-Books/dp/B0CG33VFYX/ref=sr_1_174,combo pack of 6 Books - Flash Cards,All-Subject Activity Books,Shop By Interest,"Kindergarten Years (U.K.G &  L.K.G), Early Foundation (Pre Nursery & Nursery)",Previous,100 pages,1270,1270,https://m.media-amazon.com/images/I/51UhVEhqzXL.jpg,https://m.media-amazon.com/images/I/41a7L+xBDHL.jpg,https://m.media-amazon.com/images/I/41T5d+VfalL.jpg,https://m.media-amazon.com/images/I/41SrBZCcISL.jpg,https://m.media-amazon.com/images/I/51ekifa7V7L.jpg,https://m.media-amazon.com/images/I/31KJNLczTbL.jpg,https://m.media-amazon.com/images/I/31WnoDANTeL.jpg,"combo pack of 6 Books', an essential educational workbook. Carefully structured to boost comprehension and retention, it provides excellent practice material for students aiming to excel in their studies."
